wsi_di_SWP
wsi                   di
0.0        0.0
500.0        756.02149464
1000.0        756.02149464
1500.0        756.02149464
2000.0        1124.98091763
2500.0        1501.33769101
3000.0        2412.10806578
3500.0        3080.05679673
4000.0        3552.11027395
4500.0        4494.96547927
5000.0        5252.56551396
5500.0        5875.1737201
6000.0        7000.23603362
6500.0        7501.77754382
7000.0        7928.65589988
7500.0        8072.06891397
8000.0        8072.06891397
8500.0        8072.06891397
9000.0        8072.06891397
9500.0        8072.06891397
10000.0        8072.06891397
10500.0        8072.06891397
11000.0        8072.06891397
11500.0        8072.06891397
12000.0        8072.06891397
12500.0        8072.06891397
13000.0        8072.06891397
13500.0        8072.06891397
14000.0        8072.06891397
14500.0        8072.06891397
15000.0        8072.06891397
15500.0        8072.06891397
16000.0        8072.06891397
16500.0        8072.06891397
17000.0        8072.06891397
17500.0        8072.06891397
18000.0        8072.06891397
18500.0        8072.06891397
19000.0        8072.06891397
19500.0        8072.06891397
20000.0        8072.06891397
