trinity_import
month     clair_lev     shasta_lev    critTFFflow  flow
11  2   1   1125     1125
11  2   2   1125     1125
11  2   3   950      950
11  2   4   750      750
11  2   5   375      375
11  2   6   0        0
11  3   1   2500     2125
11  3   2   2500     2125
11  3   3   2250     1950
11  3   4   1750     1500
11  3   5   1500     1125
11  3   6   0        0
11  4   1   3250     3250
11  4   2   3250     3250
11  4   3   2500     2500
11  4   4   2000     2000
11  4   5   1500     1500
11  4   6   0        0
11  5   1   3250     3250
11  5   2   3250     3250
11  5   3   3000     3000
11  5   4   2750     2750
11  5   5   1500     1500
11  5   6   0        0
12  1   1   250      250
12  1   2   250      250
12  1   3   250      250
12  1   4   250      250
12  1   5   250      250
12  1   6   0        0
12  2   1   750      750
12  2   2   750      750
12  2   3   750      750
12  2   4   550      550
12  2   5   250      250
12  2   6   0        0
12  3   1   1750     1500
12  3   2   1750     1500
12  3   3   1500     1250
12  3   4   1500     1300
12  3   5   1000     750
12  3   6   0        0
12  4   1   3250     3250
12  4   2   3250     3250
12  4   3   2500     2500
12  4   4   2000     2000
12  4   5   1500     1500
12  4   6   0        0
12  5   1   3250     3250
12  5   2   3250     3250
12  5   3   3000     3000
12  5   4   2750     2750
12  5   5   1500     1500
12  5   6   0        0


0
0
0
0
0
0
200
200
200
200
125
0
1200
1200
950
700
625
0
1750
1750
1500
1250
750
0
3250
3250
2750
2500
1500
0
0
0
0
0
0
0
75
75
75
50
0
0
725
725
475
450
250
0
1000
1000
750
500
500
0
3000
3000
2500
1750
1500
0
0
0
0
0
0
0
75
75
75
50
0
0
225
225
225
200
100
0
250
250
250
250
100
0
1000
1000
750
500
500
0
0
0
0
0
0
0
75
75
75
50
0
0
225
225
225
200
100
0
250
250
250
250
100
0
250
250
250
250
100
0
0
0
0
0
0
0
75
75
75
50
0
0
225
225
225
200
100
0
250
250
250
250
100
0
250
250
250
250
100
0
0
0
0
0
0
0
75
75
75
50
0
0
225
225
225
200
100
0
250
250
250
250
100
0
250
250
250
250
100
0
0
0
0
0
0
0
75
75
75
50
0
0
225
225
225
200
100
0
250
250
250
250
100
0
250
250
250
250
100
0
0
0
0
0
0
0
75
75
75
50
0
0
225
225
225
200
100
0
250
250
250
250
100
0
250
250
250
250
100
0
250
250
250
250
250
0
200
200
200
200
125
0
