wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4178.7197571
1000.0        4178.7197571
1500.0        4178.7197571
2000.0        4178.7197571
2500.0        4178.7197571
3000.0        4178.7197571
3500.0        4178.7197571
4000.0        4178.7197571
4500.0        4178.7197571
5000.0        4229.2217294
5500.0        4463.91472842
6000.0        4852.71923286
6500.0        5624.34059823
7000.0        6330.7350706
7500.0        6537.27156544
8000.0        7273.8311578
8500.0        7704.05121455
9000.0        8353.79650766
9500.0        8896.70393892
10000.0        9663.69464234
10500.0        10355.2274267
11000.0        11031.41971
11500.0        11265.3350275
12000.0        11501.725181
12500.0        11558.0406682
13000.0        11708.5137743
13500.0        11966.6001963
14000.0        11966.6001963
14500.0        11966.6001963
15000.0        11966.6001963
15500.0        11966.6001963
16000.0        11966.6001963
16500.0        11966.6001963
17000.0        11966.6001963
17500.0        11966.6001963
18000.0        11966.6001963
18500.0        11966.6001963
19000.0        11966.6001963
19500.0        11966.6001963
20000.0        11966.6001963
